time,open,high,low,close,tick_volume
2024-07-03 06:45:00,1.07396,1.07475,1.07395,1.07463,417
2024-07-03 07:00:00,1.07465,1.07553,1.07463,1.07508,659
2024-07-03 07:15:00,1.0751,1.07591,1.07509,1.07548,546
2024-07-03 07:30:00,1.07547,1.07582,1.07544,1.07568,517
2024-07-03 07:45:00,1.07568,1.07613,1.07541,1.0759,529
2024-07-03 08:00:00,1.07589,1.07614,1.0755,1.07614,472
2024-07-03 08:15:00,1.07614,1.0763,1.07578,1.07596,477
2024-07-03 08:30:00,1.07598,1.0763,1.07586,1.07621,418
2024-07-03 08:45:00,1.07621,1.0763,1.07567,1.07577,425
2024-07-03 09:00:00,1.07576,1.07588,1.07558,1.0757,418
2024-07-03 09:15:00,1.07568,1.076,1.07554,1.07585,370
2024-07-03 09:30:00,1.07584,1.07617,1.07574,1.07599,375
2024-07-03 09:45:00,1.076,1.07609,1.07538,1.0755,480
2024-07-03 10:00:00,1.07549,1.07558,1.07521,1.07546,318
2024-07-03 10:15:00,1.07546,1.07607,1.07541,1.07592,337
2024-07-03 10:30:00,1.07592,1.07602,1.07568,1.07593,363
2024-07-03 10:45:00,1.07593,1.07624,1.07578,1.07578,367
2024-07-03 11:00:00,1.07579,1.07615,1.07577,1.07598,312
2024-07-03 11:15:00,1.07599,1.07616,1.0756000000000001,1.07569,335
2024-07-03 11:30:00,1.07568,1.07599,1.07561,1.07589,350
2024-07-03 11:45:00,1.07588,1.07603,1.07564,1.07572,320
2024-07-03 12:00:00,1.07575,1.07587,1.07546,1.07558,448
2024-07-03 12:15:00,1.07558,1.07661,1.07557,1.07656,688
2024-07-03 12:30:00,1.07654,1.0777700000000001,1.0765,1.07757,833
2024-07-03 12:45:00,1.07758,1.07759,1.07714,1.07739,562
2024-07-03 13:00:00,1.07739,1.078,1.07713,1.07791,543
2024-07-03 13:15:00,1.07793,1.07844,1.07786,1.07828,508
2024-07-03 13:30:00,1.07827,1.07866,1.07823,1.07864,467
2024-07-03 13:45:00,1.07867,1.07917,1.07862,1.07887,618
2024-07-03 14:00:00,1.07887,1.08144,1.07887,1.08133,1801
2024-07-03 14:15:00,1.08135,1.08163,1.08026,1.0803,1156
2024-07-03 14:30:00,1.08033,1.08131,1.08002,1.08016,952
2024-07-03 14:45:00,1.08016,1.08113,1.08014,1.08053,1055
2024-07-03 15:00:00,1.08052,1.08056,1.07988,1.08056,825
2024-07-03 15:15:00,1.08055,1.08086,1.07994,1.08003,731
2024-07-03 15:30:00,1.08,1.08027,1.07976,1.08015,616
2024-07-03 15:45:00,1.08015,1.08031,1.07969,1.07983,506
2024-07-03 16:00:00,1.07984,1.07992,1.07949,1.07975,476
2024-07-03 16:15:00,1.07977,1.08001,1.07953,1.07959,387
2024-07-03 16:30:00,1.07958,1.07961,1.07924,1.07929,369
2024-07-03 16:45:00,1.07929,1.07963,1.07916,1.07954,333
2024-07-03 17:00:00,1.07954,1.07954,1.07865,1.07875,349
2024-07-03 17:15:00,1.07875,1.07888,1.07844,1.07851,241
2024-07-03 17:30:00,1.07849,1.0785,1.07818,1.07837,195
2024-07-03 17:45:00,1.07837,1.07837,1.07816,1.07831,187
2024-07-03 18:00:00,1.07832,1.07844,1.07809,1.07823,311
2024-07-03 18:15:00,1.07823,1.07826,1.07778,1.07783,249
2024-07-03 18:30:00,1.07783,1.07825,1.07783,1.07808,194
2024-07-03 18:45:00,1.07808,1.0782,1.07788,1.07799,131
2024-07-03 19:00:00,1.07801,1.07843,1.07793,1.0783800000000001,272
2024-07-03 19:15:00,1.0783800000000001,1.07873,1.07836,1.07867,241
2024-07-03 19:30:00,1.07867,1.07873,1.07859,1.07862,172
2024-07-03 19:45:00,1.07861,1.07872,1.07842,1.07843,160
2024-07-03 20:00:00,1.07843,1.07858,1.07835,1.07857,128
2024-07-03 20:15:00,1.07857,1.07869,1.07853,1.07861,82
2024-07-03 20:30:00,1.07861,1.07868,1.07857,1.07861,91
2024-07-03 20:45:00,1.07861,1.0788,1.07858,1.07858,176
2024-07-03 21:00:00,1.0786,1.07872,1.07834,1.07863,192
2024-07-03 21:15:00,1.07861,1.07867,1.0784799999999999,1.07864,186
2024-07-03 21:30:00,1.07866,1.07866,1.07833,1.07839,263
2024-07-03 21:45:00,1.07841,1.07859,1.07817,1.07859,171
2024-07-03 22:00:00,1.0786,1.07877,1.07855,1.07876,138
2024-07-03 22:15:00,1.07876,1.07876,1.07867,1.07871,84
2024-07-03 22:30:00,1.07871,1.07885,1.0787,1.07883,82
2024-07-03 22:45:00,1.07884,1.07895,1.07881,1.07888,79
2024-07-03 23:00:00,1.07889,1.07894,1.0788,1.07887,73
2024-07-03 23:15:00,1.07887,1.07894,1.07884,1.07887,65
2024-07-03 23:30:00,1.07887,1.07895,1.07876,1.07895,105
2024-07-03 23:45:00,1.07895,1.07911,1.07888,1.07904,173
2024-07-04 00:00:00,1.07905,1.07932,1.07891,1.07905,277
2024-07-04 00:15:00,1.07905,1.07912,1.07882,1.07895,181
2024-07-04 00:30:00,1.07895,1.07908,1.0789,1.07902,133
2024-07-04 00:45:00,1.07903,1.07927,1.07895,1.07921,198
2024-07-04 01:00:00,1.07921,1.07944,1.0790899999999999,1.0790899999999999,265
2024-07-04 01:15:00,1.0790899999999999,1.07916,1.07884,1.07908,229
2024-07-04 01:30:00,1.0791,1.07921,1.07877,1.07918,239
2024-07-04 01:45:00,1.07919,1.07924,1.07895,1.07904,212
2024-07-04 02:00:00,1.07904,1.07913,1.07881,1.07889,161
2024-07-04 02:15:00,1.07889,1.07891,1.07863,1.07865,174
2024-07-04 02:30:00,1.07864,1.07881,1.07864,1.07868,158
2024-07-04 02:45:00,1.07868,1.0788,1.07859,1.07859,136
2024-07-04 03:00:00,1.07859,1.07871,1.0785,1.07857,199
2024-07-04 03:15:00,1.07857,1.07863,1.07852,1.07859,112
2024-07-04 03:30:00,1.07861,1.07863,1.07845,1.07846,154
2024-07-04 03:45:00,1.07846,1.07851,1.07832,1.07847,202
2024-07-04 04:00:00,1.0784799999999999,1.07863,1.07847,1.07863,155
2024-07-04 04:15:00,1.07863,1.07868,1.0785,1.07856,129
2024-07-04 04:30:00,1.07857,1.07857,1.07843,1.07847,106
2024-07-04 04:45:00,1.07847,1.0787,1.07845,1.07861,135
2024-07-04 05:00:00,1.07861,1.07863,1.07845,1.07851,120
2024-07-04 05:15:00,1.07853,1.07856,1.07843,1.07851,145
2024-07-04 05:30:00,1.07851,1.07875,1.0784799999999999,1.07869,189
2024-07-04 05:45:00,1.07869,1.07903,1.07867,1.07896,269
2024-07-04 06:00:00,1.07895,1.07905,1.07843,1.07859,434
2024-07-04 06:15:00,1.07861,1.07889,1.07856,1.07873,329
2024-07-04 06:30:00,1.07871,1.07929,1.07862,1.07922,550
2024-07-04 06:45:00,1.07922,1.07928,1.07891,1.07922,442
2024-07-04 07:00:00,1.07919,1.0795,1.07894,1.07898,544
